,Unnamed: 1,authority,portrait,year,obj,denomination,material,region,deity,url,fname,years_bins,code
10,33004,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Felicitas,http://numismatics.org/collectionimages/19001949/1944/1944.100.47495.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972008.1908464.jpg,101-150,0
11,40033,Antoninus Pius,Antoninus Pius,151.0,Coin,Drachm,Bronze,Egypt,Tyche,http://numismatics.org/collectionimages/19001949/1944/1944.100.60659.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973914.2397525.jpg,151-200,0
12,12393,Antoninus Pius,Antoninus Pius,156.0,Coin,Drachm,Bronze,Egypt,Cybele,http://numismatics.org/collectionimages/19001949/1944/1944.100.60851.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966385.7177703.jpg,151-200,0
13,40106,Antoninus Pius,Antoninus Pius,148.0,Coin,Drachm,Bronze,Egypt,Nike,http://numismatics.org/collectionimages/19001949/1944/1944.100.60533.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973932.9633179.jpg,101-150,0
14,12445,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60976.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966398.895958.jpg,101-150,0
15,34857,Antoninus Pius,Antoninus Pius,148.0,Coin,Didrachm,Silver,Cappadocia,,http://numismatics.org/collectionimages/19001949/1944/1944.100.59451.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972499.4250627.jpg,101-150,0
16,18225,Antoninus Pius,Antoninus Pius,156.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1983/1983.42.2.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967963.5012636.jpg,151-200,0
17,38099,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,Remus,http://numismatics.org/collectionimages/19001949/1937/1937.158.502.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973397.4554033.jpg,101-150,0
18,41983,Antoninus Pius,Antoninus Pius,143.0,Coin,As,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.371.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974442.5039966.jpg,101-150,0
19,12446,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60977.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966399.1328337.jpg,101-150,0
20,6531,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Securitas,http://numismatics.org/collectionimages/19001949/1944/1944.100.48261.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964802.743906.jpg,101-150,0
21,15624,Antoninus Pius,Antoninus Pius,138.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1946/1946.35.25.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967255.888534.jpg,101-150,0
22,40940,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Remus,http://numismatics.org/collectionimages/19501999/1956/1956.127.376.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974158.9956398.jpg,101-150,0
23,41994,Antoninus Pius,Antoninus Pius,158.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.382.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974445.084009.jpg,151-200,0
24,6535,Antoninus Pius,Antoninus Pius,158.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48303.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964803.7006109.jpg,151-200,0
25,25172,Antoninus Pius,Antoninus Pius,145.0,Coin,As,Bronze,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1955/1955.18.11.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969867.7974017.jpg,101-150,0
26,40941,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Italia,http://numismatics.org/collectionimages/19501999/1956/1956.127.377.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974159.2348688.jpg,101-150,0
27,18147,Antoninus Pius,Antoninus Pius,148.0,Coin,Sestertius,Bronze,Italy,Fides,http://numismatics.org/collectionimages/19501999/1980/1980.187.6.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967941.7542164.jpg,101-150,0
28,28727,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,Sol,http://numismatics.org/collectionimages/19001949/1938/1938.127.168.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970834.243132.jpg,101-150,0
29,35754,Antoninus Pius,Antoninus Pius,152.0,Coin,Aureus,Gold,Italy,,http://numismatics.org/collectionimages/19501999/1972/1972.62.10.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972738.3023853.jpg,151-200,0
30,18226,Antoninus Pius,Antoninus Pius,158.0,Coin,Sestertius,Bronze,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1983/1983.42.6.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967963.7242525.jpg,151-200,0
31,43900,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Annona,http://numismatics.org/collectionimages/19501999/1956/1956.127.1864.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974959.2090974.jpg,101-150,0
32,42797,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Italia,http://numismatics.org/collectionimages/19501999/1995/1995.110.30.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974662.8914285.jpg,101-150,0
33,43056,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19501999/1973/1973.56.797.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974731.7550766.jpg,101-150,0
34,6426,Antoninus Pius,Antoninus Pius,151.0,Coin,Sestertius,Bronze,Italy,Victory,http://numismatics.org/collectionimages/19001949/1944/1944.100.48283.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964776.1555586.jpg,151-200,0
35,6529,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Mars,http://numismatics.org/collectionimages/19001949/1944/1944.100.48259.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964802.275808.jpg,101-150,0
36,40979,Antoninus Pius,Antoninus Pius,152.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19501999/1956/1956.127.442.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974168.8059459.jpg,151-200,0
37,19755,Antoninus Pius,Antoninus Pius,158.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1911/1911.23.236.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968372.1690493.jpg,151-200,0
38,5432,Marcus Aurelius,Antoninus Pius,161.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.49527.obv.width175.jpg,../img/Marcus Aurelius_Antoninus_1590964509.6453018.jpg,151-200,0
39,25685,Antoninus Pius,Antoninus Pius,150.0,Coin,Aureus,Gold,Italy,Pax,http://numismatics.org/collectionimages/19501999/1967/1967.50.3.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970005.7362278.jpg,101-150,0
40,6423,Antoninus Pius,Antoninus Pius,150.0,Coin,As,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19001949/1944/1944.100.48280.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964775.4544969.jpg,101-150,0
41,40965,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Felicitas,http://numismatics.org/collectionimages/19501999/1956/1956.127.416.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974165.423.jpg,101-150,0
42,43559,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.58995.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974866.4142423.jpg,151-200,0
43,40801,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19501999/1956/1956.127.368.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974121.982808.jpg,101-150,0
44,12487,Antoninus Pius,Antoninus Pius,156.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.61052.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966409.350602.jpg,151-200,0
45,35635,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1941/1941.15.63.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972707.186582.jpg,101-150,0
46,26928,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Fortuna,http://numismatics.org/collectionimages/19501999/1987/1987.26.160.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970346.6772077.jpg,151-200,0
47,43591,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60150.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974876.0594592.jpg,101-150,0
48,36507,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Securitas,http://numismatics.org/collectionimages/19501999/1988/1988.5.36.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972941.6995158.jpg,101-150,0
49,41782,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.1809.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974388.2567995.jpg,101-150,0
50,34715,Antoninus Pius,Antoninus Pius,147.0,Coin,Tetradrachm,Billon,Egypt,Apollo,http://numismatics.org/collectionimages/19001949/1944/1944.100.58739.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972462.3608599.jpg,101-150,0
51,25890,Antoninus Pius,Antoninus Pius,157.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19501999/1973/1973.56.844.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970060.8618798.jpg,151-200,0
52,19744,Antoninus Pius,Antoninus Pius,154.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1911/1911.23.226.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968369.4898398.jpg,151-200,0
53,6337,Antoninus Pius,Antoninus Pius,147.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48148.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964751.774726.jpg,101-150,0
54,40811,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,Concordia,http://numismatics.org/collectionimages/19501999/1956/1956.127.384.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974124.5269666.jpg,101-150,0
55,16574,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1947/1947.2.467.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967520.5280151.jpg,151-200,0
56,22184,Antoninus Pius,Antoninus Pius,148.0,Coin,As,Bronze,Italy,Felicitas,http://numismatics.org/collectionimages/19001949/1906/1906.236.351.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969047.0164878.jpg,101-150,0
57,43090,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Aequitas,http://numismatics.org/collectionimages/19501999/1956/1956.163.661.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974740.5898829.jpg,101-150,0
58,35760,Antoninus Pius,Antoninus Pius,159.0,Coin,Aureus,Gold,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1972/1972.62.16.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972740.150984.jpg,151-200,0
59,25892,Antoninus Pius,Antoninus Pius,158.0,Coin,Drachm,Bronze,Egypt,Ares,http://numismatics.org/collectionimages/19501999/1973/1973.56.847.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970061.3088732.jpg,151-200,0
60,43630,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60251.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974885.7539728.jpg,101-150,0
61,41491,Antoninus Pius,Antoninus Pius,151.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1995/1995.11.147.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974308.4752.jpg,151-200,0
62,6315,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19001949/1944/1944.100.48125.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964746.2134223.jpg,101-150,0
63,41568,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.154.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974328.7835345.jpg,101-150,0
64,22180,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1906/1906.236.348.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969046.0652282.jpg,101-150,0
65,25686,Antoninus Pius,Antoninus Pius,153.0,Coin,Aureus,Gold,Italy,,http://numismatics.org/collectionimages/19501999/1967/1967.50.4.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590970005.9707637.jpg,151-200,0
66,21739,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1951/1951.61.64.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968925.8019192.jpg,101-150,0
67,40977,Antoninus Pius,Antoninus Pius,152.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19501999/1956/1956.127.440.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974168.3280642.jpg,151-200,0
68,12492,Antoninus Pius,Antoninus Pius,159.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.61058.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966410.480533.jpg,151-200,0
69,43523,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,Saturn,http://numismatics.org/collectionimages/19001949/1944/1944.100.60364.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974857.8404882.jpg,101-150,0
70,36623,Marcus Aurelius,Antoninus Pius,148.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/00001899/0000/0000.999.20762.obv.width175.jpg,../img/Marcus Aurelius_Antoninus Pius Divus_1590972973.729369.jpg,101-150,0
71,6402,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Tiber,http://numismatics.org/collectionimages/19001949/1944/1944.100.48222.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964770.1754503.jpg,101-150,0
72,34720,Antoninus Pius,Antoninus Pius,147.0,Coin,Tetradrachm,Billon,Egypt,Elpis,http://numismatics.org/collectionimages/19001949/1944/1944.100.58753.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972463.9839203.jpg,101-150,0
73,6350,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1944/1944.100.48161.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964755.1876001.jpg,151-200,0
74,17826,Antoninus Pius,Antoninus Pius,156.0,Coin,Sestertius,Bronze,Italy,Roma,http://numismatics.org/collectionimages/19501999/1957/1957.172.1725.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967856.898416.jpg,151-200,0
75,39695,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Annona,http://numismatics.org/collectionimages/19501999/1956/1956.127.1875.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973823.3324234.jpg,151-200,0
76,19696,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Aequitas,http://numismatics.org/collectionimages/19001949/1911/1911.23.182.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968356.7169225.jpg,101-150,0
77,6534,Antoninus Pius,Antoninus Pius,157.0,Coin,Dupondius,Bronze,Italy,Fortuna,http://numismatics.org/collectionimages/19001949/1944/1944.100.48302.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964803.465759.jpg,151-200,0
78,12461,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.61000.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966402.9658353.jpg,101-150,0
79,43627,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.60244.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974885.0766027.jpg,101-150,0
80,43488,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60314.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974849.0254266.jpg,101-150,0
81,34508,Antoninus Pius,Antoninus Pius,140.0,Coin,Tetradrachm,Billon,Egypt,Demeter,http://numismatics.org/collectionimages/19001949/1944/1944.100.58588.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972408.3542957.jpg,101-150,0
82,23600,Antoninus Pius,Antoninus Pius,147.0,Coin,Denarius,Silver,Italy,Salus,http://numismatics.org/collectionimages/19501999/1960/1960.170.235.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969427.564383.jpg,101-150,0
83,6430,Antoninus Pius,Antoninus Pius,152.0,Coin,Sestertius,Bronze,Italy,Salus,http://numismatics.org/collectionimages/19001949/1944/1944.100.48287.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964777.095285.jpg,151-200,0
84,16242,Antoninus Pius,Antoninus Pius,148.0,Coin,Aureus,Gold,Italy,Aequitas,http://numismatics.org/collectionimages/19001949/1948/1948.19.1258.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967433.4703717.jpg,101-150,0
85,6408,Antoninus Pius,Antoninus Pius,145.0,Coin,Dupondius,Bronze,Italy,Mars,http://numismatics.org/collectionimages/19001949/1944/1944.100.48265.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964771.5810807.jpg,101-150,0
86,21524,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Moneta,http://numismatics.org/collectionimages/19001949/1931/1931.58.364.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968868.3911226.jpg,101-150,0
87,12465,Antoninus Pius,Antoninus Pius,143.0,Coin,Drachm,Bronze,Egypt,Hermes,http://numismatics.org/collectionimages/19001949/1944/1944.100.61007.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966403.8290823.jpg,101-150,0
88,36118,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Zeus,http://numismatics.org/collectionimages/19501999/1974/1974.26.3655.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972837.7303393.jpg,101-150,0
89,20016,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Pax,http://numismatics.org/collectionimages/19501999/1985/1985.140.120.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968458.3894918.jpg,101-150,0
90,6369,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48192.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964760.0310354.jpg,101-150,0
91,43877,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1956/1956.127.1829.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974952.7518926.jpg,101-150,0
92,6442,Antoninus Pius,Antoninus Pius,156.0,Coin,Dupondius,Bronze,Italy,Providentia,http://numismatics.org/collectionimages/19001949/1944/1944.100.48299.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964780.368643.jpg,151-200,0
93,19741,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1911/1911.23.223.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590968368.7700756.jpg,151-200,0
94,6330,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48141.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964750.1471586.jpg,101-150,0
95,40784,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Victory,http://numismatics.org/collectionimages/19501999/1956/1956.127.338.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974117.3350544.jpg,101-150,0
96,40169,Antoninus Pius,Antoninus Pius,100.0,Funerary object,,Gold,,,http://numismatics.org/collectionimages/20002049/2018/2018.36.12.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973949.2579467.jpg,51-100,0
97,43582,Antoninus Pius,Antoninus Pius,138.0,Coin,Diobol,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.60113.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974874.04764.jpg,101-150,0
98,23654,Hadrian,Antoninus Pius,148.0,Coin,Aureus,Gold,Italy,Spes,http://numismatics.org/collectionimages/19501999/1960/1960.175.33.obv.width175.jpg,../img/Hadrian_Antoninus Pius_1590969441.2938416.jpg,101-150,0
99,16577,Antoninus Pius,Antoninus Pius,140.0,Coin,Dupondius,Bronze,Italy,Genius,http://numismatics.org/collectionimages/19001949/1947/1947.2.470.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590967521.2412014.jpg,101-150,0
100,42281,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19501999/1995/1995.110.31.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974522.1272385.jpg,101-150,0
101,34121,Antoninus Pius,Antoninus Pius,140.0,Coin,As,Bronze,Italy,Bonus Eventus,http://numismatics.org/collectionimages/19001949/1943/1943.23.49.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590972306.8999808.jpg,101-150,0
102,38979,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,Liberalitas,http://numismatics.org/collectionimages/19501999/1956/1956.28.247.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973634.1653323.jpg,101-150,0
103,12421,Antoninus Pius,Antoninus Pius,158.0,Coin,Drachm,Bronze,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60926.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590966392.94413.jpg,151-200,0
104,25335,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1978/1978.27.6.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590969911.7419758.jpg,101-150,0
105,41641,Antoninus Pius,Antoninus Pius,148.0,Coin,Dupondius,Bronze,Italy,Pax,http://numismatics.org/collectionimages/19501999/1995/1995.11.161.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590974349.762945.jpg,101-150,0
106,6352,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Fortuna,http://numismatics.org/collectionimages/19001949/1944/1944.100.48163.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590964755.6561832.jpg,151-200,0
107,40039,Antoninus Pius,Antoninus Pius,151.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60680.obv.width175.jpg,../img/Antoninus Pius_Antoninus Pius_1590973915.5979145.jpg,151-200,0
